Date,Price
,AAPL
2010-01-04,6.4403300285339355
2010-01-05,6.451465606689453
2010-01-06,6.348846912384033
2010-01-07,6.33711051940918
2010-01-08,6.379240036010742
2010-01-11,6.322967529296875
2010-01-12,6.251041412353516
2010-01-13,6.339217185974121
2010-01-14,6.302501201629639
2010-01-15,6.197173118591309
2010-01-19,6.4713287353515625
2010-01-20,6.371719837188721
2010-01-21,6.261573314666748
2010-01-22,5.951009273529053
2010-01-25,6.111108303070068
2010-01-26,6.197476387023926
2010-01-27,6.255856513977051
2010-01-28,5.997354507446289
2010-01-29,5.779776096343994
2010-02-01,5.8601274490356445
2010-02-02,5.894132137298584
2010-02-03,5.995547771453857
2010-02-04,5.779475688934326
2010-02-05,5.882094383239746
2010-02-08,5.841769695281982
2010-02-09,5.904064178466797
2010-02-10,5.871864318847656
2010-02-11,5.978694915771484
2010-02-12,6.030155658721924
2010-02-16,6.121038436889648
2010-02-17,6.095458984375
2010-02-18,6.106894016265869
2010-02-19,6.06897497177124
2010-02-22,6.0313591957092285
2010-02-23,5.930243968963623
2010-02-24,6.0385823249816895
2010-02-25,6.078907489776611
2010-02-26,6.157752513885498
2010-03-01,6.2892608642578125
2010-03-02,6.2850494384765625
2010-03-03,6.299492835998535
2010-03-04,6.341022491455078
2010-03-05,6.588995933532715
2010-03-08,6.5929059982299805
2010-03-09,6.711474895477295
2010-03-10,6.766244411468506
2010-03-11,6.786107540130615
2010-03-12,6.819210052490234
2010-03-15,6.736152172088623
2010-03-16,6.754509449005127
2010-03-17,6.744579315185547
2010-03-18,6.760526180267334
2010-03-19,6.688302516937256
2010-03-22,6.763535976409912
2010-03-23,6.8721723556518555
2010-03-24,6.902569770812988
2010-03-25,6.820714473724365
2010-03-26,6.948612689971924
2010-03-29,6.993451118469238
2010-03-30,7.097573757171631
2010-03-31,7.071994781494141
2010-04-01,7.1011857986450195
2010-04-05,7.1770219802856445
2010-04-06,7.208620548248291
2010-04-07,7.240520000457764
2010-04-08,7.220959663391113
2010-04-09,7.276330471038818
2010-04-12,7.291378974914551
2010-04-13,7.295591831207275
2010-04-14,7.393697738647461
2010-04-15,7.490900993347168
2010-04-16,7.445157051086426
2010-04-19,7.435225009918213
2010-04-20,7.360595703125
2010-04-21,7.800861358642578
2010-04-22,8.019043922424316
2010-04-23,8.150248527526855
2010-04-26,8.110221862792969
2010-04-27,7.885725975036621
2010-04-28,7.872483253479004
2010-04-29,8.084344863891602
2010-04-30,7.857141971588135
2010-05-03,8.01542854309082
2010-05-04,7.784608364105225
2010-05-05,7.703660011291504
2010-05-06,7.41055154800415
2010-05-07,7.097874164581299
2010-05-10,7.643474578857422
2010-05-11,7.719608306884766
2010-05-12,7.887233257293701
2010-05-13,7.774982929229736
2010-05-14,7.6383585929870605
2010-05-17,7.650393962860107
2010-05-18,7.594418525695801
2010-05-19,7.473443984985352
2010-05-20,7.15505313873291
2010-05-21,7.29228401184082
2010-05-24,7.425893306732178
2010-05-25,7.37955379486084
2010-05-26,7.3461480140686035
2010-05-27,7.624209880828857
2010-05-28,7.730445384979248
2010-06-01,7.8493146896362305
2010-06-02,7.943203926086426
2010-06-03,7.918226718902588
2010-06-04,7.702757358551025
2010-06-07,7.551685810089111
2010-06-08,7.503239631652832
2010-06-09,7.31876277923584
2010-06-10,7.538748264312744
2010-06-11,7.62903356552124
2010-06-14,7.652201175689697
2010-06-15,7.815005302429199
2010-06-16,8.04251766204834
2010-06-17,8.181549072265625
2010-06-18,8.247754096984863
2010-06-21,8.130386352539062
2010-06-22,8.241131782531738
2010-06-23,8.154458045959473
2010-06-24,8.09517765045166
2010-06-25,8.025961875915527
2010-06-28,8.074114799499512
2010-06-29,7.70907735824585
2010-06-30,7.569443225860596
2010-07-01,7.477654457092285
2010-07-02,7.4313130378723145
2010-07-06,7.482172012329102
2010-07-07,7.784310817718506
2010-07-08,7.766855716705322
2010-07-09,7.812901020050049
2010-07-12,7.742780685424805
2010-07-13,7.5775675773620605
2010-07-14,7.605555534362793
2010-07-15,7.56703519821167
2010-07-16,7.520387649536133
2010-07-19,7.390386581420898
2010-07-20,7.580275535583496
2010-07-21,7.6509928703308105
2010-07-22,7.7948431968688965
2010-07-23,7.822526931762695
2010-07-26,7.802667617797852
2010-07-27,7.947118282318115
2010-07-28,7.853225231170654
2010-07-29,7.767455577850342
2010-07-30,7.741574764251709
2010-08-02,7.88001012802124
2010-08-03,7.882418155670166
2010-08-04,7.914012908935547
2010-08-05,7.875495910644531
2010-08-06,7.827043533325195
2010-08-09,7.876999378204346
2010-08-10,7.806580543518066
2010-08-11,7.52911901473999
2010-08-12,7.577268600463867
2010-08-13,7.496313571929932
2010-08-16,7.452381610870361
2010-08-17,7.5826849937438965
2010-08-18,7.615785121917725
2010-08-19,7.519789218902588
2010-08-20,7.512563705444336
2010-08-23,7.397008419036865
2010-08-24,7.220357418060303
2010-08-25,7.3094353675842285
2010-08-26,7.230886459350586
2010-08-27,7.27121639251709
2010-08-30,7.297695159912109
2010-08-31,7.315755844116211
2010-09-01,7.53333044052124
2010-09-02,7.5887041091918945
2010-09-03,7.787319660186768
2010-09-07,7.758432865142822
2010-09-08,7.912207126617432
2010-09-09,7.916726112365723
2010-09-10,7.92695426940918
2010-09-13,8.036192893981934
2010-09-14,8.066889762878418
2010-09-15,8.131892204284668
2010-09-16,8.322983741760254
2010-09-17,8.28687572479248
2010-09-20,8.523411750793457
2010-09-21,8.53965950012207
2010-09-22,8.659431457519531
2010-09-23,8.694643020629883
2010-09-24,8.796960830688477
